iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
UK001,UK042,603,Anas platyrhynchos,0.86416,51.8251,716,0.9595,51.6721,22856
UK016,UK066,464,Anas platyrhynchos,1.34416,52.0423,977,1.16533,51.9566,3670
DK051,DK053,437,Anas platyrhynchos,8.7,55.3333,6660,8.4,55.4333,4370
BE004,BE005,427,Anas platyrhynchos,3.1833,51.35,230,3.2167,51.25,9349
DK109,DK111,249,Anas platyrhynchos,12.4167,55.8,1290,12.5333,55.5833,6210
DK110,DK111,247,Anas platyrhynchos,12.8333,55.6667,7240,12.5333,55.5833,6210
DK110,SE060,207,Anas platyrhynchos,12.8333,55.6667,7240,13.0063,55.6881,5600
DK053,DK057,171,Anas platyrhynchos,8.4,55.4333,4370,8.5333,55.2667,115850
BE003,BE005,149,Anas platyrhynchos,2.8333,51,5100,3.2167,51.25,9349
DK049,DK053,144,Anas platyrhynchos,8.3167,55.6,2700,8.4,55.4333,4370
DK052,DK053,128,Anas platyrhynchos,8.5667,55.2833,850,8.4,55.4333,4370
BE005,BE006,116,Anas platyrhynchos,3.2167,51.25,9349,3.35,51.3333,1820
UK001,UK066,113,Anas platyrhynchos,0.86416,51.8251,716,1.16533,51.9566,3670
DK043,DK053,96,Anas platyrhynchos,8.25,56,27720,8.4,55.4333,4370
NL080,NL094,90,Anas platyrhynchos,5.0667,51.8667,610,5.8333,52.1667,91800
DK105,DK111,86,Anas platyrhynchos,12.0833,55.75,13180,12.5333,55.5833,6210
DK088,DK130,84,Anas platyrhynchos,11.0333,54.8333,8550,11.4666,55.0666,135300
DK001,DK008,82,Anas platyrhynchos,9.5833,57.0333,18530,9.1667,57.0333,1660
UK001,UK016,78,Anas platyrhynchos,0.86416,51.8251,716,1.34416,52.0423,977
NL001,NL054,77,Anas platyrhynchos,5.3833,53.3,272100,5.8667,53.2167,600
UK002,UK016,71,Anas platyrhynchos,1.55616,52.0045,2520,1.34416,52.0423,977
BE001,BE005,69,Anas platyrhynchos,2.75,51.2,17000,3.2167,51.25,9349
BE017,NL051,68,Anas platyrhynchos,4.9333,51.1833,91,4.8333,51.7667,9050
BE005,NL020,66,Anas platyrhynchos,3.2167,51.25,9349,3.5833,51.7167,107000
NL039,NL041,66,Anas platyrhynchos,5.75,52.6,3900,5.85,52.5,640
DE289,DK053,60,Anas platyrhynchos,8.81666,54.4833,441000,8.4,55.4333,4370
NL078,NL080,60,Anas platyrhynchos,5,51.95,140,5.0667,51.8667,610
UK001,UK040,57,Anas platyrhynchos,0.86416,51.8251,716,0.66433,51.3996,4668
NL013,NL019,55,Anas platyrhynchos,4.7667,52.9167,6000,4.7,52.8167,600
DK103,DK111,54,Anas platyrhynchos,12.15,55.5667,100,12.5333,55.5833,6210
NL051,NL094,52,Anas platyrhynchos,4.8333,51.7667,9050,5.8333,52.1667,91800
UK001,UK007,51,Anas platyrhynchos,0.86416,51.8251,716,0.66666,51.5166,2373
DK111,DK113,50,Anas platyrhynchos,12.5333,55.5833,6210,12.3333,55.4167,50
DK110,SE061,44,Anas platyrhynchos,12.8333,55.6667,7240,12.9167,55.4167,20000
DK087,DK088,44,Anas platyrhynchos,11.5167,54.7667,3810,11.0333,54.8333,8550
DK053,DK054,44,Anas platyrhynchos,8.4,55.4333,4370,9.0833,55.5167,460
NL051,NL078,42,Anas platyrhynchos,4.8333,51.7667,9050,5,51.95,140
