iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
FR051,SE055,16,Charadrius hiaticula,1.7,50.2667,5550,16.4,56.2,1610
DE044,DE304,15,Charadrius hiaticula,13.5166,54.2166,103155,12.9,54.4333,203810
FI083,FR051,13,Charadrius hiaticula,21.6,61.5333,15441,1.7,50.2667,5550
UK047,UK077,12,Charadrius hiaticula,0.741,52.9741,7831,0.29,52.9366,69908
PL012,PL013,10,Charadrius hiaticula,18.6167,54.5667,56000,18.95,54.35,485
FR060,SE055,7,Charadrius hiaticula,1.6,50.25,18200,16.4,56.2,1610
FI083,FR060,6,Charadrius hiaticula,21.6,61.5333,15441,1.6,50.25,18200
DK111,SE061,6,Charadrius hiaticula,12.5333,55.5833,6210,12.9167,55.4167,20000
FR101,SE055,6,Charadrius hiaticula,-1,45.95,5400,16.4,56.2,1610
DK110,DK111,6,Charadrius hiaticula,12.8333,55.6667,7240,12.5333,55.5833,6210
FI083,SE055,5,Charadrius hiaticula,21.6,61.5333,15441,16.4,56.2,1610
FI083,FR045,5,Charadrius hiaticula,21.6,61.5333,15441,0.3,49.4333,21100
DE288,DE304,4,Charadrius hiaticula,11.4333,54.0166,102030,12.9,54.4333,203810
FI083,FR239,4,Charadrius hiaticula,21.6,61.5333,15441,4.6,43.5167,76500
DK111,FR101,4,Charadrius hiaticula,12.5333,55.5833,6210,-1,45.95,5400
UK016,UK066,4,Charadrius hiaticula,1.34416,52.0423,977,1.16533,51.9566,3670
DE043,DE288,4,Charadrius hiaticula,11.6166,53.7833,74800,11.4333,54.0166,102030
FR198,SE055,4,Charadrius hiaticula,-1,45.4333,22250,16.4,56.2,1610
DE304,FR060,4,Charadrius hiaticula,12.9,54.4333,203810,1.6,50.25,18200
FR060,SE061,4,Charadrius hiaticula,1.6,50.25,18200,12.9167,55.4167,20000
DE288,FR051,3,Charadrius hiaticula,11.4333,54.0166,102030,1.7,50.2667,5550
FR051,SE061,3,Charadrius hiaticula,1.7,50.2667,5550,12.9167,55.4167,20000
DK111,FR033,3,Charadrius hiaticula,12.5333,55.5833,6210,-1,46.3333,77900
ES254,SE055,3,Charadrius hiaticula,-5.5667,36.75,2500,16.4,56.2,1610
UK007,UK042,3,Charadrius hiaticula,0.66666,51.5166,2373,0.9595,51.6721,22856
FR108,SE055,3,Charadrius hiaticula,-0.35,46.2333,14300,16.4,56.2,1610
UK068,UK073,3,Charadrius hiaticula,0.84283,51.3606,6486,0.53333,51.4666,9357
FR045,SE055,3,Charadrius hiaticula,0.3,49.4333,21100,16.4,56.2,1610
UK007,UK073,3,Charadrius hiaticula,0.66666,51.5166,2373,0.53333,51.4666,9357
FR239,SE055,3,Charadrius hiaticula,4.6,43.5167,76500,16.4,56.2,1610
DK111,FR176,3,Charadrius hiaticula,12.5333,55.5833,6210,-1.1167,44.6667,20100
ES255,SE055,3,Charadrius hiaticula,-5.9167,36.6167,22000,16.4,56.2,1610
FR051,PL013,3,Charadrius hiaticula,1.7,50.2667,5550,18.95,54.35,485
DE288,PL013,3,Charadrius hiaticula,11.4333,54.0166,102030,18.95,54.35,485
FI083,FR062,3,Charadrius hiaticula,21.6,61.5333,15441,1.5667,50.5333,5050
DE122,FI083,3,Charadrius hiaticula,11,51.4333,1454,21.6,61.5333,15441
FR060,PL013,3,Charadrius hiaticula,1.6,50.25,18200,18.95,54.35,485
FI083,FR063,3,Charadrius hiaticula,21.6,61.5333,15441,1.6333,50.4667,1500
UK014,UK019,3,Charadrius hiaticula,-0.9388,50.8056,5795,0.83,50.9755,9805
FI083,PL013,3,Charadrius hiaticula,21.6,61.5333,15441,18.95,54.35,485
UK001,UK042,3,Charadrius hiaticula,0.86416,51.8251,716,0.9595,51.6721,22856
FI083,FR032,3,Charadrius hiaticula,21.6,61.5333,15441,-0.8167,46.4333,18700
UK025,UK049,3,Charadrius hiaticula,-2.5158,53.9815,79978,-0.8706,54.3806,143490
FR014,UK077,3,Charadrius hiaticula,-2.7667,47.5667,18800,0.29,52.9366,69908
NO025,UK077,3,Charadrius hiaticula,12,67.5,1750,0.29,52.9366,69908
UK010,UK077,3,Charadrius hiaticula,1.63133,52.5845,2091,0.29,52.9366,69908
UK049,UK077,3,Charadrius hiaticula,-0.8706,54.3806,143490,0.29,52.9366,69908
FR007,UK077,3,Charadrius hiaticula,-4.9333,48.3667,10900,0.29,52.9366,69908
FR051,UK044,2,Charadrius hiaticula,1.7,50.2667,5550,-2.9781,54.104,36859
FI028,SE055,2,Charadrius hiaticula,25.1667,64.9167,81781,16.4,56.2,1610
FI083,SE061,2,Charadrius hiaticula,21.6,61.5333,15441,12.9167,55.4167,20000
FR235,SE055,2,Charadrius hiaticula,4.2667,43.5167,21000,16.4,56.2,1610
DE304,UK016,2,Charadrius hiaticula,12.9,54.4333,203810,1.34416,52.0423,977
FI083,PT021,2,Charadrius hiaticula,21.6,61.5333,15441,-8.9333,38.8167,45071
DK111,FR045,2,Charadrius hiaticula,12.5333,55.5833,6210,0.3,49.4333,21100
UK040,UK042,2,Charadrius hiaticula,0.66433,51.3996,4668,0.9595,51.6721,22856
DK047,UK044,2,Charadrius hiaticula,9.7167,55.35,35060,-2.9781,54.104,36859
UK042,UK073,2,Charadrius hiaticula,0.9595,51.6721,22856,0.53333,51.4666,9357
UK044,UK096,2,Charadrius hiaticula,-2.9781,54.104,36859,-4.0421,53.2551,2694
ES244,FI083,2,Charadrius hiaticula,-5.5833,36.4167,133500,21.6,61.5333,15441
DE304,UK014,2,Charadrius hiaticula,12.9,54.4333,203810,-0.9388,50.8056,5795
DE288,DE317,2,Charadrius hiaticula,11.4333,54.0166,102030,12.7,54.05,67280
DK111,FR060,2,Charadrius hiaticula,12.5333,55.5833,6210,1.6,50.25,18200
