iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DK109,DK111,69,Fulica atra,12.4167,55.8,1290,12.5333,55.5833,6210
DK001,DK008,30,Fulica atra,9.5833,57.0333,18530,9.1667,57.0333,1660
DE468,DE470,28,Fulica atra,13.75,51.1666,3085,13.7,51.0666,70
DE139,DE150,19,Fulica atra,13.0333,52.5,3926,13.1666,52.0333,18147
CH002,CH009,15,Fulica atra,6.7333,46.9667,23200,6.9,46.3667,6600
DK008,DK043,14,Fulica atra,9.1667,57.0333,1660,8.25,56,27720
DE456,DE458,14,Fulica atra,12.3,51.3666,5738,12.4166,51.2166,273
DK110,SE060,13,Fulica atra,12.8333,55.6667,7240,13.0063,55.6881,5600
UK001,UK011,13,Fulica atra,0.86416,51.8251,716,1.53716,52.6693,5402
DE139,DE396,11,Fulica atra,13.0333,52.5,3926,12.9666,52.3333,2336
DK110,DK111,11,Fulica atra,12.8333,55.6667,7240,12.5333,55.5833,6210
DK111,DK130,11,Fulica atra,12.5333,55.5833,6210,11.4666,55.0666,135300
DE129,DE456,11,Fulica atra,12.0166,51.3833,5819,12.3,51.3666,5738
CH002,CH004,10,Fulica atra,6.7333,46.9667,23200,7.1833,46.9667,16100
IT064,IT193,10,Fulica atra,12.4667,45.3667,68982,11.3167,42.4,12164
CH004,CH009,9,Fulica atra,7.1833,46.9667,16100,6.9,46.3667,6600
DK109,DK110,9,Fulica atra,12.4167,55.8,1290,12.8333,55.6667,7240
DK008,DK041,9,Fulica atra,9.1667,57.0333,1660,8.15,56.1833,6910
DK105,DK111,9,Fulica atra,12.0833,55.75,13180,12.5333,55.5833,6210
DK088,DK130,9,Fulica atra,11.0333,54.8333,8550,11.4666,55.0666,135300
DK008,DK019,9,Fulica atra,9.1667,57.0333,1660,8.7833,57,460
IT091,IT193,8,Fulica atra,12.0833,43.15,13200,11.3167,42.4,12164
DK084,DK111,8,Fulica atra,12,54.9167,8160,12.5333,55.5833,6210
UK001,UK007,8,Fulica atra,0.86416,51.8251,716,0.66666,51.5166,2373
CH009,FR170,7,Fulica atra,6.9,46.3667,6600,6.5167,46.3667,24300
UK001,UK066,7,Fulica atra,0.86416,51.8251,716,1.16533,51.9566,3670
DK008,DK038,7,Fulica atra,9.1667,57.0333,1660,8.2333,56.35,10890
UK001,UK040,6,Fulica atra,0.86416,51.8251,716,0.66433,51.3996,4668
DK108,DK109,6,Fulica atra,12.3333,55.9667,6130,12.4167,55.8,1290
ES237,ES244,6,Fulica atra,-5.6667,37.25,18200,-5.5833,36.4167,133500
DK109,SE060,6,Fulica atra,12.4167,55.8,1290,13.0063,55.6881,5600
DK008,DK013,6,Fulica atra,9.1667,57.0333,1660,9,57.05,4870
CH002,CH006,6,Fulica atra,6.7333,46.9667,23200,6.1,46.1833,1100
IT077,IT193,5,Fulica atra,10.3333,43.85,3795,11.3167,42.4,12164
DK088,DK111,5,Fulica atra,11.0333,54.8333,8550,12.5333,55.5833,6210
NL001,UK001,5,Fulica atra,5.3833,53.3,272100,0.86416,51.8251,716
NL039,NL040,5,Fulica atra,5.75,52.6,3900,5.9667,52.6333,2180
DK089,DK111,5,Fulica atra,12.25,55.0833,24640,12.5333,55.5833,6210
NL068,NL071,5,Fulica atra,4.85,52.5667,2040,4.9333,52.45,1960
CH002,CH010,4,Fulica atra,6.7333,46.9667,23200,6.7333,46.8167,690
DK111,DK113,4,Fulica atra,12.5333,55.5833,6210,12.3333,55.4167,50
IT070,IT193,4,Fulica atra,12.2667,44.9333,17000,11.3167,42.4,12164
DK086,DK111,4,Fulica atra,11.8333,54.8333,2820,12.5333,55.5833,6210
FR045,UK001,4,Fulica atra,0.3,49.4333,21100,0.86416,51.8251,716
DK071,DK088,4,Fulica atra,10.3333,55,38440,11.0333,54.8333,8550
DE205,DE452,4,Fulica atra,14.5333,51.3166,35000,14.8,51.2666,1580
DK084,DK088,4,Fulica atra,12,54.9167,8160,11.0333,54.8333,8550
UK001,UK042,4,Fulica atra,0.86416,51.8251,716,0.9595,51.6721,22856
NL068,NL070,4,Fulica atra,4.85,52.5667,2040,4.8333,52.5167,1940
NL073,UK001,4,Fulica atra,5.0833,52.2167,7040,0.86416,51.8251,716
DK087,DK088,4,Fulica atra,11.5167,54.7667,3810,11.0333,54.8333,8550
UK001,UK019,4,Fulica atra,0.86416,51.8251,716,0.83,50.9755,9805
DE139,DE148,4,Fulica atra,13.0333,52.5,3926,14.0833,52.55,17863
DE004,DK008,4,Fulica atra,9.6,54.8666,10200,9.1667,57.0333,1660
NL068,NL089,4,Fulica atra,4.85,52.5667,2040,4.55,52.1167,770
DK105,DK109,4,Fulica atra,12.0833,55.75,13180,12.4167,55.8,1290
DK084,DK109,4,Fulica atra,12,54.9167,8160,12.4167,55.8,1290
IT193,PL061,4,Fulica atra,11.3167,42.4,12164,19.1833,49.95,130000
IT076,IT193,4,Fulica atra,12.35,44.25,989,11.3167,42.4,12164
ES237,ES243,4,Fulica atra,-5.6667,37.25,18200,-5.4167,36.6667,90500
NL013,NL068,3,Fulica atra,4.7667,52.9167,6000,4.85,52.5667,2040
DE205,IT071,3,Fulica atra,14.5333,51.3166,35000,12.25,44.7833,7081
DK083,DK088,3,Fulica atra,11.7167,54.55,100000,11.0333,54.8333,8550
IT062,IT193,3,Fulica atra,13.3167,45.75,32815,11.3167,42.4,12164
DE304,DK111,3,Fulica atra,12.9,54.4333,203810,12.5333,55.5833,6210
IT072,IT193,3,Fulica atra,12.1667,44.6167,44013,11.3167,42.4,12164
DK072,DK088,3,Fulica atra,10.6667,54.7833,4980,11.0333,54.8333,8550
DE206,DE456,3,Fulica atra,12.5333,51.05,272,12.3,51.3666,5738
DK086,DK088,3,Fulica atra,11.8333,54.8333,2820,11.0333,54.8333,8550
CH006,CH014,3,Fulica atra,6.1,46.1833,1100,9.0667,47.65,530
DK098,DK130,3,Fulica atra,11,55.3333,4920,11.4666,55.0666,135300
DE139,DE152,3,Fulica atra,13.0333,52.5,3926,13.6833,52.4333,16
DK008,FR045,3,Fulica atra,9.1667,57.0333,1660,0.3,49.4333,21100
DE139,DE400,3,Fulica atra,13.0333,52.5,3926,12.3666,52.6833,8221
DK104,DK109,3,Fulica atra,12.05,55.5833,220,12.4167,55.8,1290
UK001,UK002,3,Fulica atra,0.86416,51.8251,716,1.55616,52.0045,2520
NL021,NL022,3,Fulica atra,4.0333,51.9167,350,4.05,51.9,1500
UK001,UK073,3,Fulica atra,0.86416,51.8251,716,0.53333,51.4666,9357
DK109,DK130,3,Fulica atra,12.4167,55.8,1290,11.4666,55.0666,135300
BE010,BE011,3,Fulica atra,4.1,51.05,7923,4.25,51.3167,7570
DK084,DK130,3,Fulica atra,12,54.9167,8160,11.4666,55.0666,135300
DE257,DE276,3,Fulica atra,11.7333,48.2166,986,11.3,47.9166,5671
DK130,SE061,3,Fulica atra,11.4666,55.0666,135300,12.9167,55.4167,20000
CH009,FR094,3,Fulica atra,6.9,46.3667,6600,6.2,46.85,12500
DK102,DK111,3,Fulica atra,11.8333,55.9667,4000,12.5333,55.5833,6210
FR159,FR170,3,Fulica atra,5.0167,46.0333,79800,6.5167,46.3667,24300
DK008,DK130,3,Fulica atra,9.1667,57.0333,1660,11.4666,55.0666,135300
CH002,CH011,2,Fulica atra,6.7333,46.9667,23200,6.9167,46.8667,6800
DK008,FR220,2,Fulica atra,9.1667,57.0333,1660,3.9667,43.5333,12700
CH009,DE275,2,Fulica atra,6.9,46.3667,6600,10.9166,49.75,50698
