iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DE257,FR239,84,Anas strepera,11.7333,48.2166,986,4.6,43.5167,76500
DE257,FR234,34,Anas strepera,11.7333,48.2166,986,4.3,43.6333,19300
BE017,NL051,21,Anas strepera,4.9333,51.1833,91,4.8333,51.7667,9050
DE257,FR159,16,Anas strepera,11.7333,48.2166,986,5.0167,46.0333,79800
DE257,FR235,13,Anas strepera,11.7333,48.2166,986,4.2667,43.5167,21000
UK001,UK009,7,Anas strepera,0.86416,51.8251,716,0.6795,52.4218,39284
UK001,UK011,7,Anas strepera,0.86416,51.8251,716,1.53716,52.6693,5402
FR051,UK001,6,Anas strepera,1.7,50.2667,5550,0.86416,51.8251,716
UK001,UK051,6,Anas strepera,0.86416,51.8251,716,0.17816,52.4586,2490
DE257,IT072,6,Anas strepera,11.7333,48.2166,986,12.1667,44.6167,44013
BE017,NL077,6,Anas strepera,4.9333,51.1833,91,4.7833,52.05,1650
BE017,FR239,6,Anas strepera,4.9333,51.1833,91,4.6,43.5167,76500
UK001,UK042,5,Anas strepera,0.86416,51.8251,716,0.9595,51.6721,22856
BE017,FR045,5,Anas strepera,4.9333,51.1833,91,0.3,49.4333,21100
UK001,UK002,5,Anas strepera,0.86416,51.8251,716,1.55616,52.0045,2520
DE257,FR245,5,Anas strepera,11.7333,48.2166,986,4.8,43.4833,5650
DE256,DE257,5,Anas strepera,12.75,48.7333,12754,11.7333,48.2166,986
NL040,NL065,4,Anas strepera,5.9667,52.6333,2180,6.05,52.7,9400
DE257,FR220,4,Anas strepera,11.7333,48.2166,986,3.9667,43.5333,12700
UK001,UK066,4,Anas strepera,0.86416,51.8251,716,1.16533,51.9566,3670
DE257,FR162,4,Anas strepera,11.7333,48.2166,986,4.8667,44.7667,2100
DE257,IT070,4,Anas strepera,11.7333,48.2166,986,12.2667,44.9333,17000
DE257,FR214,4,Anas strepera,11.7333,48.2166,986,3,42.8833,13650
AT037,DE257,4,Anas strepera,13.2,48.3,1699,11.7333,48.2166,986
BE017,FR051,3,Anas strepera,4.9333,51.1833,91,1.7,50.2667,5550
DE257,DE271,3,Anas strepera,11.7333,48.2166,986,10.9666,48.7166,2317
DE049,DE313,3,Anas strepera,12.2833,53.5333,45850,12.1333,53.7666,5960
BE017,FR234,3,Anas strepera,4.9333,51.1833,91,4.3,43.6333,19300
BE017,BE030,3,Anas strepera,4.9333,51.1833,91,3.7333,50.4833,13715
FR239,SE055,3,Anas strepera,4.6,43.5167,76500,16.4,56.2,1610
UK001,UK065,3,Anas strepera,0.86416,51.8251,716,1.18366,51.3103,479
FR045,UK001,3,Anas strepera,0.3,49.4333,21100,0.86416,51.8251,716
BE017,NL038,2,Anas strepera,4.9333,51.1833,91,5.25,52.5333,69700
FR234,UK001,2,Anas strepera,4.3,43.6333,19300,0.86416,51.8251,716
BE017,DE009,2,Anas strepera,4.9333,51.1833,91,10.45,54.3,2141
FR176,UK001,2,Anas strepera,-1.1167,44.6667,20100,0.86416,51.8251,716
BE017,FR229,2,Anas strepera,4.9333,51.1833,91,3.2,43.2667,4850
FR159,UK001,2,Anas strepera,5.0167,46.0333,79800,0.86416,51.8251,716
DE304,FR051,2,Anas strepera,12.9,54.4333,203810,1.7,50.2667,5550
UK001,UK007,2,Anas strepera,0.86416,51.8251,716,0.66666,51.5166,2373
DE045,FR239,2,Anas strepera,14.0166,53.9333,27790,4.6,43.5167,76500
UK001,UK006,2,Anas strepera,0.86416,51.8251,716,1.7025,52.3838,468
BE017,NL096,2,Anas strepera,4.9333,51.1833,91,5.1,51.65,4090
UK001,UK073,2,Anas strepera,0.86416,51.8251,716,0.53333,51.4666,9357
BE017,DE063,2,Anas strepera,4.9333,51.1833,91,7.33333,53.3166,2080
FR064,UK001,2,Anas strepera,1.5833,50.8667,8950,0.86416,51.8251,716
DE257,IT073,2,Anas strepera,11.7333,48.2166,986,11.8333,44.5667,2000
FR045,UK016,2,Anas strepera,0.3,49.4333,21100,1.34416,52.0423,977
DE257,ES148,2,Anas strepera,11.7333,48.2166,986,0.7333,40.7167,32000
FR239,UK077,2,Anas strepera,4.6,43.5167,76500,0.29,52.9366,69908
DE257,DE615,2,Anas strepera,11.7333,48.2166,986,9.75,47.6333,37
FR239,UK001,2,Anas strepera,4.6,43.5167,76500,0.86416,51.8251,716
DE257,FR070,2,Anas strepera,11.7333,48.2166,986,4.7,48.55,56000
FR060,UK001,2,Anas strepera,1.6,50.25,18200,0.86416,51.8251,716
DE257,FR213,2,Anas strepera,11.7333,48.2166,986,3.1333,43.1667,10400
NL034,UK001,2,Anas strepera,5.45,52.75,109000,0.86416,51.8251,716
DE257,FR160,2,Anas strepera,11.7333,48.2166,986,4.9,46.3667,12250
LV018,LV022,2,Anas strepera,23.1833,57.2333,120000,23.7333,56.9166,3052
DE257,IT064,2,Anas strepera,11.7333,48.2166,986,12.4667,45.3667,68982
BE017,NL041,2,Anas strepera,4.9333,51.1833,91,5.85,52.5,640
DE257,IT062,2,Anas strepera,11.7333,48.2166,986,13.3167,45.75,32815
BE017,FR025,2,Anas strepera,4.9333,51.1833,91,-1.9167,46.9,47000
DE257,FR167,2,Anas strepera,11.7333,48.2166,986,4.1667,45.7333,80850
FR234,SE055,2,Anas strepera,4.3,43.6333,19300,16.4,56.2,1610
BY018,DE257,1,Anas strepera,27.25,51.8333,94219,11.7333,48.2166,986
BE017,FR115,1,Anas strepera,4.9333,51.1833,91,-1.1,45.7667,14800
AL007,DE257,1,Anas strepera,19.6167,41.7833,2188,11.7333,48.2166,986
FR051,LT006,1,Anas strepera,1.7,50.2667,5550,21.25,55.3,26625
DE257,TR099,1,Anas strepera,11.7333,48.2166,986,28.5333,41.3166,5850
BE017,FR159,1,Anas strepera,4.9333,51.1833,91,5.0167,46.0333,79800
DE257,IT022,1,Anas strepera,11.7333,48.2166,986,9.1667,45.3,32292
FR239,NL056,1,Anas strepera,4.6,43.5167,76500,5.9167,53.0333,1260
DE257,IT069,1,Anas strepera,11.7333,48.2166,986,12.2333,44.9333,60
FR239,LT003,1,Anas strepera,4.6,43.5167,76500,21.1667,55.4167,9720
DE257,ES205,1,Anas strepera,11.7333,48.2166,986,-4.5,38.8333,100000
BE017,FR226,1,Anas strepera,4.9333,51.1833,91,3.5167,43.3167,561
DE257,IT047,1,Anas strepera,11.7333,48.2166,986,12.55,46.2667,63000
FR062,NL009,1,Anas strepera,1.5667,50.5333,5050,6.05,53.45,720
DE257,FR032,1,Anas strepera,11.7333,48.2166,986,-0.8167,46.4333,18700
BE017,UK002,1,Anas strepera,4.9333,51.1833,91,1.55616,52.0045,2520
DE257,FR031,1,Anas strepera,11.7333,48.2166,986,-0.4,47.3,12000
IE108,UK001,1,Anas strepera,-7.05,53.0833,1000,0.86416,51.8251,716
DE257,FR152,1,Anas strepera,11.7333,48.2166,986,3.6,46.6,22000
